model,pattern,wmape,bias,rmse,n_obs
ets,ALL,61.36559687211522,-0.22027880873754443,3.1056042998604187,30296
lgb,ALL,63.58877030290665,-0.0913508765843807,2.990330750863014,30296
naive,ALL,73.29283197076307,-0.05482571956693953,3.550974568414908,30296
ets,erratic,76.9080524188536,-0.22185075228548312,2.6962614147804,20496
lgb,erratic,80.3836777299553,0.05230045719924048,2.5296173984045223,20496
naive,erratic,91.68402375993212,-0.04932669789227166,2.993903185500995,20496
ets,intermittent,103.25498113691411,-2.9271720752453114,8.672431907838169,140
lgb,intermittent,72.77357238032332,-1.2300799708078078,6.092180590088593,140
naive,intermittent,69.0677966101695,-1.0714285714285714,6.092149515096105,140
ets,lumpy,109.98416625623305,-0.14463108921393636,1.2679987023873198,2800
lgb,lumpy,137.90169075663414,0.3174828579265455,1.3407791169275962,2800
naive,lumpy,131.13833588565595,-0.033928571428571426,1.6476173272768337,2800
ets,smooth,44.617543689779836,-0.19121612687113979,4.3223671096073755,6860
lgb,smooth,44.894462211562114,-0.6641774247867732,4.345273964881049,6860
naive,smooth,54.0517261447494,-0.05903790087463557,5.200120541325448,6860
